,Household_ID,N_catg1,N_catg2,N_catg3,N_catg4,N_catg5,N_catg6,N_catg7,N_catg8,N_catg9,N_catg10,N_catg11,N_catg12,N_catg13,N_catg14,N_catg15,E_catg1,E_catg2,E_catg3,E_catg4,E_catg5,E_catg6,E_catg7,E_catg8,E_catg9,E_catg10,E_catg11,E_catg12,E_catg13,E_catg14,E_catg15,Household_Income,Age_Household_Head,Number_Of_Kids,Total_Number_Of_Transactions,Number_Of_Online_Purchase,Number_Of_Stores_Visited,Number_Of_Returns,Number_Of_Different_Categories
126,100293774,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.99,0,0,9,40,0,1,0,1,0,1
127,100295227,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,199.96,0,0,0,0,0,0,0,0,0,247.93,0,0,0,0,1,22,0,1,0,1,2,2
128,100295932,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,199.98,0,0,0,0,0,0,0,0,0,0,0,289.99,0,0,7,82,0,1,0,1,0,2
129,100296632,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,24.99,0,0,0,0,0,809.98,0,0,29.99,0,0,0,0,0,6,74,0,1,0,1,0,3
130,100302162,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.98,0,0,3,66,2,1,0,1,0,1
131,100302421,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.97,0,0,0,6,38,0,1,0,1,2,2
132,100310100,0,0,0,0,0,0,0,3,0,0,1,3,1,0,0,0,0,0,0,0,0,0,162.98,0,0,0.01,1149.92,149.97,0,0,8,46,4,1,0,1,0,4
133,100310135,4,3,0,0,0,0,0,0,2,1,0,0,2,0,0,487.96,864.93,0,0,0,0,0,0,43.97,0.03,0,0,399.99,0,0,8,42,0,3,1,2,0,5
134,100313631,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719.99,0,6,68,0,1,0,1,0,1
135,100315767,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,24.99,1199.97,0,0,0,NA,NA,0,1,0,1,0,2
136,100316953,1,0,0,1,0,0,0,4,1,0,5,3,0,1,1,14.99,0,0,400,0,0,0,17.88,19.99,0,479.95,794.93,0,199.97,0,6,22,0,2,0,2,4,8
137,100321036,0,0,0,0,1,0,0,0,0,1,1,4,0,2,1,0,0,0,0,249.99,0,0,0,0,0,24.99,1334.96,0,0,299.98,6,32,1,2,0,2,4,6
138,100328401,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,0,1,0,1,0,1
139,100333489,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.99,0,0,0,0,NA,44,0,1,0,1,0,1
140,100336702,0,0,0,0,0,1,0,9,0,0,1,0,0,0,0,0,0,0,0,0,65.12,0,932.84,0,0,59.99,0,0,0,0,6,54,2,2,0,2,6,3
141,100337305,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,589.99,0,0,0,0,0,0,0,49,0,0,0,0,0,5,36,1,2,0,2,0,2
142,100339728,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,219.98,0,0,0,0,0,0,179.98,14.99,0,0,0,0,0,0,5,46,1,1,0,1,0,3
143,100342114,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,1,0,1,0,1
